ID,DATA_OF_BIRTH,NAME,TYPE,HAS_RECOVERED
1,2017-04-24,"Dereck Schultz",cat,
2,2017-09-02,"Dr. Gust Bayer",rabbit,
3,2018-08-17,"Theron Schmitt",cat,
4,2016-09-09,"Shannon Feeney",rabbit,
5,2017-07-24,"Prof. Kelvin Herzog IV",dog,
6,2018-03-26,"Prof. Crystel Howell II",cat,
7,2015-01-09,"Kurt Kutch",dog,
8,2018-02-18,"Sam Johnson",dog,
9,2017-08-22,"Alisha Bednar",rabbit,
10,2017-10-24,"Devan Cartwright",rabbit,
11,2016-07-24,"Nya Rowe",rabbit,
12,2016-03-12,"Flavio Hudson",cat,
13,2016-04-04,"Newton Wilderman",dog,
14,2016-10-29,"Dr. Jaylen Jakubowski",rabbit,
15,2019-04-28,"Dr. Estevan Goodwin PhD",rabbit,
16,2017-06-17,"Lia Wisozk",rabbit,
17,2015-11-12,"Shayne Mosciski",dog,
18,2016-05-14,"Prof. Mabelle Morar",dog,
19,2015-06-26,"Dr. Nash Jacobi Sr.",dog,
20,2017-07-02,"Mr. Maxime Larson I",dog,
21,2015-08-08,"Barney Feil Sr.",rabbit,
22,2017-12-22,"Rhoda Hyatt III",rabbit,
23,2015-09-29,"Prof. Muhammad Crooks",cat,
24,2015-06-06,"Karlee Hermann",cat,
25,2017-01-29,"Wendy Russel",cat,
26,2015-12-02,"Prof. Alta Kerluke III",cat,
27,2016-03-05,"Alex Gaylord",cat,
28,2017-09-04,"Caterina Nikolaus",dog,
29,2014-11-17,"Prof. Jesse Hilpert Jr.",dog,
30,2018-09-24,"Brady Franecki",cat,
31,2016-06-02,"Mr. Drake Wintheiser DDS",dog,
32,2018-09-22,"Otilia Becker",rabbit,
33,2014-05-25,"Jackeline Beatty I",cat,
34,2017-03-09,"Lazaro Dooley",dog,
35,2017-04-28,"Adrienne Bednar",cat,
36,2015-03-16,"Miss Delphia Bednar",cat,
37,2016-03-19,"Dandre Graham",rabbit,
38,2015-01-16,"Mr. Bennett Auer IV",rabbit,
39,2017-10-08,"Mrs. Nannie Hirthe",rabbit,
40,2015-07-25,"Tristian Pacocha",dog,
41,2015-02-12,"Prof. Orval Sauer",dog,
42,2018-05-02,"Dr. Hermann Kuhlman II",cat,
43,2015-12-04,"Myrna Toy",rabbit,
44,2018-12-24,"Moises Prohaska",dog,
45,2015-03-23,"Ms. Baby Herzog",dog,
46,2016-11-14,"Ruthe Wilderman",dog,
47,2015-06-07,"Maxwell Barrows IV",cat,
48,2016-09-02,"Margarete Prosacco DVM",cat,
49,2015-10-29,"Sophia Gutmann",cat,
50,2015-03-18,"Prof. Bell Beer",cat,
51,2018-03-10,"Coty Hickle",cat,
52,2018-08-02,"Tom Kirlin",cat,
53,2015-09-23,"Geo Rosenbaum II",cat,
54,2016-05-10,"Will Haley",dog,
55,2017-08-19,"Prof. Sienna Stroman",rabbit,
56,2014-09-30,"Prof. Mckayla Kutch",rabbit,
57,2018-03-28,"Conner Jenkins",rabbit,
58,2017-08-13,"Elna Wehner",rabbit,
59,2019-03-25,"Noemi Block",cat,
60,2018-09-08,"Dr. Travon Swift II",rabbit,
61,2018-06-28,"Lelia Boyer",cat,
62,2019-01-28,"Gus Conn II",cat,
63,2019-01-14,"Dr. Jay Nitzsche",dog,
64,2018-08-08,"Aimee Corwin",cat,
65,2016-04-25,"Chad Kerluke",rabbit,
66,2019-03-19,"Miss Lydia Watsica",rabbit,
67,2018-03-26,"Dahlia Hamill",rabbit,
68,2016-08-28,"Dr. Astrid Hane",cat,
69,2016-05-11,"Prof. Berry Denesik Jr.",cat,
70,2015-07-05,"Shanna Legros",dog,
71,2014-07-08,"Mrs. Vella Satterfield MD",dog,
72,2018-03-03,"Narciso Prosacco",dog,
73,2018-09-16,"Dr. Roel Johns DVM",rabbit,
74,2019-04-16,"Clemens Kirlin I",cat,
75,2018-06-30,"Jaylin Hegmann",cat,
76,2018-11-18,"Dr. Cristal Treutel Jr.",cat,
77,2014-08-10,"Buck Runolfsdottir",cat,
78,2017-11-06,"Jeanette Kirlin",cat,
79,2015-09-25,"Watson Effertz PhD",dog,
80,2015-03-04,"Kamille McKenzie MD",cat,
81,2016-11-27,"Prof. Myrtis Hegmann",cat,
82,2015-05-26,"Prof. Haven Corkery",cat,
83,2017-07-18,"Prof. Amir Wilkinson II",rabbit,
84,2014-06-03,"Cayla Cartwright V",dog,
85,2016-06-07,"Prof. Kurt Watsica Jr.",rabbit,
86,2018-03-07,"Zaria Gibson",rabbit,
87,2014-10-04,"Justen Metz",dog,
88,2019-03-31,"Dr. Horace Bayer V",cat,
89,2016-03-04,"Earline Keeling",dog,
90,2016-11-25,"Ernie Raynor",rabbit,
91,2016-08-04,"Mrs. Arlie Beahan",rabbit,
92,2016-01-25,"Raoul Volkman IV",dog,
93,2017-02-13,"Tevin Fisher I",dog,
94,2018-04-01,"Charlene Abshire",dog,
95,2016-04-07,"Ransom Hammes",cat,
96,2018-08-10,"Dr. Jasmin Dickens",dog,
97,2015-03-26,"Angelina Zieme",rabbit,
98,2015-02-04,"Ms. Verona Windler DDS",dog,
99,2017-01-13,"Marianna Kris",cat,
100,2014-11-10,"Jermey Bode",dog,
101,2019-02-07,"Prof. Kaycee Johnson",dog,
102,2015-05-07,"Dr. Verlie Daniel",cat,
103,2015-05-21,"Betsy Bosco",dog,
104,2015-10-25,"Mr. Demario Simonis",dog,
105,2017-12-02,"Ms. Constance Kuvalis",rabbit,
106,2019-03-18,"Dr. Antoinette Hettinger",cat,
107,2014-10-02,"Mr. Jorge Rice",dog,
108,2015-11-02,"Nikko Sanford",rabbit,
109,2015-06-24,"Westley Hansen",cat,
110,2016-09-18,"Enrique Kulas",cat,
111,2019-05-13,"Camila Mayert",cat,
112,2018-06-11,"Prof. Pierre Glover V",cat,
113,2017-06-07,"Ashtyn Grant",rabbit,
114,2015-07-01,"Halie Connelly Sr.",rabbit,
115,2017-08-09,"Jaclyn Lemke",cat,
116,2017-03-19,"Otha Gutkowski PhD",dog,
117,2014-06-21,"Corine Deckow",cat,
118,2015-02-28,"Lucie Kuphal",rabbit,
119,2018-06-26,"Albertha Torp",cat,
120,2017-01-20,"Mr. Javier Schamberger",cat,
121,2019-04-25,"Adele Stokes Jr.",rabbit,
122,2017-04-19,"Dallin Predovic MD",dog,
123,2019-02-21,"Eli Mitchell Jr.",rabbit,
124,2014-06-05,"Leola Runolfsson",cat,
125,2017-11-25,"Brent Ritchie",cat,
126,2019-02-13,"Kari Abbott",dog,
127,2015-03-15,"Deonte Beier Sr.",cat,
128,2018-05-30,"Ella McClure",dog,
129,2016-06-29,"Joshuah Ruecker II",rabbit,
130,2019-03-01,"Hannah Carter",rabbit,
131,2017-03-22,"Miss Magdalena Beier",dog,
132,2017-07-19,"Adell Bradtke",rabbit,
133,2017-10-29,"Vivianne Douglas",dog,
134,2019-05-13,"Jeanette Hodkiewicz",cat,
135,2016-09-06,"Prof. Jacinthe Kreiger",rabbit,
136,2017-05-10,"Una Ryan",rabbit,
137,2016-09-25,"Miss Katrine Heidenreich",cat,
138,2019-04-17,"Lydia Padberg",dog,
139,2016-07-26,"Lauren Wyman",cat,
140,2019-01-29,"Chadd Kassulke",cat,
141,2018-02-17,"Miss Shyann Luettgen V",cat,
142,2014-09-27,"Fernando Spencer",dog,
143,2018-11-10,"Prof. Leonardo Yost I",dog,
144,2018-06-09,"Ophelia Rosenbaum PhD",cat,
145,2014-08-11,"Miss Rebeca Murphy",cat,
146,2018-12-02,"Prof. Javier Sanford III",rabbit,
147,2018-12-17,"Noel Simonis",rabbit,
148,2018-10-24,"Keenan Effertz",rabbit,
149,2016-01-09,"Loy Metz",dog,
150,2018-08-14,"Johnnie West",dog,
151,2018-10-26,"Palma Carter II",cat,
152,2019-04-04,"Emie Fisher",cat,
153,2017-05-23,"Maximillia Schinner II",rabbit,
154,2016-01-14,"Ken McCullough",cat,
155,2018-09-15,"Prof. Kavon McLaughlin V",dog,
156,2017-03-11,"Deondre Williamson",rabbit,
157,2018-12-12,"Miss Samanta Jenkins",cat,
158,2018-03-19,"Lorine Ortiz",cat,
159,2018-10-29,"Cyrus Dibbert",rabbit,
160,2018-06-26,"Damien Prohaska",dog,
161,2017-04-08,"Faustino Keebler",rabbit,
162,2017-03-01,"Anna Abshire",rabbit,
163,2018-02-21,"Dr. Kayley Jacobs MD",cat,
164,2017-12-01,"Mohammed Rempel",cat,
165,2016-08-10,"Montana Parisian",rabbit,
166,2015-12-05,"Mr. Tevin Rolfson DVM",cat,
167,2016-09-29,"Nils Witting",dog,
168,2018-08-02,"Alf O'Keefe I",dog,
